Loan Amount,Payment Coupon,Status 1/1/2023,Status 12/31/2023,Current Borrower Credit Score,Borrower Total Annual Debt-to-Income (Estimated),Default (90+ Days Past Due),Recovery (% of Exposure at Default),Time to Recovery (Months),PV recovery %,Actual loss,,
"$86,225 ",6.96%,current,current,667,0.776,FALSE,,,#VALUE!,0,,
"$14,083 ",6.01%,current,current,606,0.248,FALSE,,,#VALUE!,0,,
"$170,285 ",4.95%,current,current,731,0.2,FALSE,,,#VALUE!,0,,
"$190,199 ",6.77%,current,current,740,0.28,FALSE,,,#VALUE!,0,,
"$22,263 ",2.07%,current,defaulted,569.6,0.5,TRUE,1%,4,0.009629284,22040.37,,
"$100,824 ",2.93%,current,current,618,0.2,FALSE,,,#VALUE!,0,,
"$96,528 ",5.76%,current,current,693,0.656,FALSE,,,#VALUE!,0,,
"$137,329 ",2.09%,current,current,646,0.2,FALSE,,,#VALUE!,0,,
"$184,970 ",5.25%,current,current,707,0.2,FALSE,,,#VALUE!,0,,
"$145,913 ",4.53%,current,current,642,0.2,FALSE,,,#VALUE!,0,,
"$48,564 ",6.12%,current,current,691,0.2,FALSE,,,#VALUE!,0,,
"$59,222 ",6.74%,current,current,655,0.2,FALSE,,,#VALUE!,0,,
"$11,689 ",6.54%,current,current,718,0.2,FALSE,,,#VALUE!,0,,
"$18,254 ",3.50%,current,current,652,0.568,FALSE,,,#VALUE!,0,,
"$111,425 ",6.19%,current,current,657,0.2,FALSE,,,#VALUE!,0,,
"$101,929 ",5.28%,current,current,728,0.672,FALSE,,,#VALUE!,0,,
"$21,705 ",2.17%,current,current,765,0.8,FALSE,,,#VALUE!,0,,
"$187,786 ",6.29%,current,current,732,0.52,FALSE,,,#VALUE!,0,,
"$92,564 ",6.96%,current,current,643,0.296,FALSE,,,#VALUE!,0,,
"$191,307 ",5.26%,current,current,676,0.232,FALSE,,,#VALUE!,0,,
"$98,202 ",3.48%,current,current,624,0.472,FALSE,,,#VALUE!,0,,
"$183,082 ",5.49%,current,current,711,0.288,FALSE,,,#VALUE!,0,,
"$145,915 ",6.18%,current,current,661,0.224,FALSE,,,#VALUE!,0,,
"$163,865 ",5.29%,current,current,764,0.384,FALSE,,,#VALUE!,0,,
"$152,443 ",5.79%,current,current,778,0.2,FALSE,,,#VALUE!,0,,
"$163,431 ",4.77%,current,current,785,0.656,FALSE,,,#VALUE!,0,,
"$48,033 ",5.67%,current,current,771,0.608,FALSE,,,#VALUE!,0,,
"$44,203 ",2.37%,current,current,723,0.432,FALSE,,,#VALUE!,0,,
"$167,428 ",2.66%,current,paid off,741,0.78,FALSE,,,#VALUE!,0,,
"$75,645 ",6.64%,current,current,725,0.432,FALSE,,,#VALUE!,0,,
"$172,589 ",5.22%,current,current,787,0.288,FALSE,,,#VALUE!,0,,
"$139,017 ",6.76%,current,current,738,0.4,FALSE,,,#VALUE!,0,,
"$53,810 ",5.62%,current,current,633,0.2,FALSE,,,#VALUE!,0,,
"$119,624 ",6.03%,current,current,779,0.768,FALSE,,,#VALUE!,0,,
"$60,105 ",5.67%,current,current,797,0.2,FALSE,,,#VALUE!,0,,
"$27,919 ",3.79%,current,current,749,0.64,FALSE,,,#VALUE!,0,,
"$118,180 ",5.89%,current,current,673,0.408,FALSE,,,#VALUE!,0,,
"$59,910 ",6.80%,current,current,650,0.576,FALSE,,,#VALUE!,0,,
"$36,777 ",6.62%,current,current,658,0.2,FALSE,,,#VALUE!,0,,
"$22,095 ",3.58%,current,current,739,0.704,FALSE,,,#VALUE!,0,,
"$26,843 ",6.70%,current,current,733,0.792,FALSE,,,#VALUE!,0,,
"$191,458 ",2.48%,current,current,709,0.384,FALSE,,,#VALUE!,0,,
"$190,679 ",3.26%,current,current,641,0.736,FALSE,,,#VALUE!,0,,
"$37,719 ",3.31%,current,current,622,0.8,FALSE,,,#VALUE!,0,,
"$53,607 ",4.24%,current,current,672,0.2,FALSE,,,#VALUE!,0,,
"$174,298 ",2.44%,current,current,714,0.208,FALSE,,,#VALUE!,0,,
"$66,720 ",3.09%,current,current,665,0.504,FALSE,,,#VALUE!,0,,
"$118,247 ",2.37%,current,current,775,0.744,FALSE,,,#VALUE!,0,,
"$112,103 ",4.03%,current,current,750,0.36,FALSE,,,#VALUE!,0,,
"$93,926 ",6.40%,current,current,754,0.2,FALSE,,,#VALUE!,0,,
"$134,609 ",6.01%,current,paid off,607,0.5,FALSE,,,#VALUE!,0,,
"$40,206 ",3.86%,current,current,612,0.28,FALSE,,,#VALUE!,0,,
"$119,165 ",3.07%,current,current,622,0.248,FALSE,,,#VALUE!,0,,
"$148,464 ",2.52%,current,current,614,0.2,FALSE,,,#VALUE!,0,,
"$36,460 ",5.13%,current,current,774,0.2,FALSE,,,#VALUE!,0,,
"$172,592 ",6.64%,current,current,649,0.488,FALSE,,,#VALUE!,0,,
"$174,070 ",3.61%,current,current,698,0.648,FALSE,,,#VALUE!,0,,
"$164,810 ",5.62%,current,current,736,0.536,FALSE,,,#VALUE!,0,,
"$74,015 ",5.57%,current,current,680,0.792,FALSE,,,#VALUE!,0,,
"$182,885 ",5.50%,current,current,648,0.552,FALSE,,,#VALUE!,0,,
"$136,531 ",6.69%,current,current,797,0.2,FALSE,,,#VALUE!,0,,
"$198,105 ",6.03%,current,current,770,0.576,FALSE,,,#VALUE!,0,,
"$174,964 ",3.69%,current,current,798,0.224,FALSE,,,#VALUE!,0,,
"$25,381 ",5.95%,current,current,676,0.6,FALSE,,,#VALUE!,0,,
"$25,735 ",4.82%,current,current,706,0.776,FALSE,,,#VALUE!,0,,
"$160,410 ",3.28%,current,current,619,0.2,FALSE,,,#VALUE!,0,,
"$13,426 ",5.02%,current,current,650,0.504,FALSE,,,#VALUE!,0,,
"$59,439 ",3.46%,current,current,713,0.232,FALSE,,,#VALUE!,0,,
"$71,846 ",6.29%,current,current,793,0.28,FALSE,,,#VALUE!,0,,
"$95,309 ",3.02%,current,current,702,0.496,FALSE,,,#VALUE!,0,,
"$93,346 ",3.10%,current,current,687,0.6,FALSE,,,#VALUE!,0,,
"$153,646 ",5.87%,current,current,724,0.616,FALSE,,,#VALUE!,0,,
"$183,192 ",6.70%,current,current,613,0.344,FALSE,,,#VALUE!,0,,
"$7,282 ",4.57%,current,current,795,0.328,FALSE,,,#VALUE!,0,,
"$158,505 ",2.25%,current,current,731,0.408,FALSE,,,#VALUE!,0,,
"$111,630 ",5.48%,current,current,783,0.672,FALSE,,,#VALUE!,0,,
"$195,128 ",5.30%,current,current,723,0.728,FALSE,,,#VALUE!,0,,
"$124,397 ",3.58%,current,paid off,699,0.24,FALSE,,,#VALUE!,0,,
"$39,476 ",4.72%,current,current,746,0.8,FALSE,,,#VALUE!,0,,
"$102,620 ",6.87%,current,current,659,0.752,FALSE,,,#VALUE!,0,,
"$139,432 ",5.58%,current,current,678,0.2,FALSE,,,#VALUE!,0,,
"$184,006 ",6.81%,current,current,794,0.528,FALSE,,,#VALUE!,0,,
"$142,922 ",3.82%,current,current,661,0.2,FALSE,,,#VALUE!,0,,
"$54,244 ",5.33%,current,paid off,770,0.3,FALSE,,,#VALUE!,0,,
"$54,532 ",4.51%,current,current,779,0.2,FALSE,,,#VALUE!,0,,
"$180,217 ",5.58%,current,current,630,0.264,FALSE,,,#VALUE!,0,,
"$78,677 ",2.33%,current,current,756,0.744,FALSE,,,#VALUE!,0,,
"$117,368 ",5.35%,current,current,676,0.496,FALSE,,,#VALUE!,0,,
"$191,595 ",4.22%,current,current,611,0.768,FALSE,,,#VALUE!,0,,
"$98,141 ",2.83%,current,current,632,0.536,FALSE,,,#VALUE!,0,,
"$64,296 ",3.24%,current,current,650,0.2,FALSE,,,#VALUE!,0,,
"$177,475 ",2.12%,current,current,678,0.304,FALSE,,,#VALUE!,0,,
"$62,247 ",4.29%,current,current,707,0.392,FALSE,,,#VALUE!,0,,
"$106,871 ",6.13%,current,paid off,700,0.23,FALSE,,,#VALUE!,0,,
"$93,030 ",2.55%,current,paid off,731,0.27,FALSE,,,#VALUE!,0,,
"$194,034 ",3.28%,current,current,749,0.776,FALSE,,,#VALUE!,0,,
"$16,230 ",5.54%,current,current,777,0.624,FALSE,,,#VALUE!,0,,
"$144,211 ",5.31%,current,current,791,0.2,FALSE,,,#VALUE!,0,,
"$19,560 ",6.16%,current,current,739,0.344,FALSE,,,#VALUE!,0,,
"$25,736 ",3.64%,current,current,694,0.448,FALSE,,,#VALUE!,0,,
"$55,838 ",2.59%,current,current,795,0.6,FALSE,,,#VALUE!,0,,
"$92,855 ",6.60%,current,current,790,0.536,FALSE,,,#VALUE!,0,,
"$21,703 ",5.80%,current,current,754,0.704,FALSE,,,#VALUE!,0,,
"$142,846 ",5.07%,current,defaulted,487.2,0.65,TRUE,25%,3,0.243016355,107134.5,,
"$101,573 ",3.45%,current,current,610,0.2,FALSE,,,#VALUE!,0,,
"$162,542 ",6.68%,current,paid off,685,0.21,FALSE,,,#VALUE!,0,,
"$11,846 ",2.85%,current,current,618,0.76,FALSE,,,#VALUE!,0,,
"$118,289 ",5.04%,current,current,724,0.2,FALSE,,,#VALUE!,0,,
"$85,137 ",4.70%,current,current,740,0.2,FALSE,,,#VALUE!,0,,
"$194,631 ",3.78%,current,current,684,0.2,FALSE,,,#VALUE!,0,,
"$195,619 ",5.79%,current,current,635,0.36,FALSE,,,#VALUE!,0,,
"$174,511 ",4.53%,current,current,603,0.2,FALSE,,,#VALUE!,0,,
"$126,799 ",6.79%,current,current,737,0.2,FALSE,,,#VALUE!,0,,
"$161,180 ",4.67%,current,current,627,0.616,FALSE,,,#VALUE!,0,,
"$12,494 ",4.63%,current,current,780,0.256,FALSE,,,#VALUE!,0,,
"$130,073 ",6.07%,current,current,649,0.784,FALSE,,,#VALUE!,0,,
"$22,822 ",4.43%,current,current,602,0.504,FALSE,,,#VALUE!,0,,
"$17,920 ",2.63%,current,current,724,0.216,FALSE,,,#VALUE!,0,,
"$42,440 ",4.33%,current,current,630,0.592,FALSE,,,#VALUE!,0,,
"$92,444 ",3.93%,current,current,664,0.36,FALSE,,,#VALUE!,0,,
"$55,865 ",5.29%,current,current,667,0.232,FALSE,,,#VALUE!,0,,
"$167,446 ",4.34%,current,current,706,0.288,FALSE,,,#VALUE!,0,,
"$160,176 ",2.59%,current,current,674,0.632,FALSE,,,#VALUE!,0,,
"$114,195 ",5.41%,current,current,764,0.6,FALSE,,,#VALUE!,0,,
"$36,123 ",6.62%,current,current,661,0.312,FALSE,,,#VALUE!,0,,
"$41,854 ",6.13%,current,current,719,0.2,FALSE,,,#VALUE!,0,,
"$189,382 ",4.59%,current,paid off,797,0.46,FALSE,,,#VALUE!,0,,
"$127,620 ",5.74%,current,current,783,0.256,FALSE,,,#VALUE!,0,,
"$122,806 ",5.28%,current,current,774,0.432,FALSE,,,#VALUE!,0,,
"$71,539 ",2.67%,current,current,662,0.648,FALSE,,,#VALUE!,0,,
"$162,044 ",2.76%,current,current,606,0.272,FALSE,,,#VALUE!,0,,
"$188,612 ",2.69%,current,paid off,750,0.23,FALSE,,,#VALUE!,0,,
"$172,894 ",2.02%,current,current,736,0.792,FALSE,,,#VALUE!,0,,
"$12,012 ",2.43%,current,current,642,0.792,FALSE,,,#VALUE!,0,,
"$110,613 ",6.60%,current,current,659,0.552,FALSE,,,#VALUE!,0,,
"$38,788 ",2.54%,delinquent in payments,defaulted,554.4,0.6,TRUE,17%,3,0.165251122,32194.04,,
"$68,961 ",5.18%,current,current,736,0.2,FALSE,,,#VALUE!,0,,
"$45,690 ",5.33%,current,current,740,0.304,FALSE,,,#VALUE!,0,,
"$64,496 ",2.22%,current,current,789,0.736,FALSE,,,#VALUE!,0,,
"$123,395 ",3.44%,current,current,723,0.712,FALSE,,,#VALUE!,0,,
"$171,542 ",3.46%,current,current,623,0.2,FALSE,,,#VALUE!,0,,
"$77,939 ",6.71%,current,current,783,0.248,FALSE,,,#VALUE!,0,,
"$134,421 ",6.18%,current,current,794,0.624,FALSE,,,#VALUE!,0,,
"$193,416 ",2.61%,current,current,730,0.2,FALSE,,,#VALUE!,0,,
"$107,927 ",3.76%,delinquent in payments,defaulted,586.4,1.06,TRUE,3%,3,0.029161963,104689.19,,
"$146,803 ",6.99%,current,current,636,0.2,FALSE,,,#VALUE!,0,,
"$80,569 ",4.42%,current,current,792,0.536,FALSE,,,#VALUE!,0,,
"$111,547 ",6.40%,current,current,672,0.448,FALSE,,,#VALUE!,0,,
"$55,725 ",3.66%,current,current,653,0.52,FALSE,,,#VALUE!,0,,
"$36,169 ",3.96%,current,current,756,0.568,FALSE,,,#VALUE!,0,,
"$15,435 ",5.62%,current,current,617,0.2,FALSE,,,#VALUE!,0,,
"$70,984 ",4.70%,current,current,661,0.264,FALSE,,,#VALUE!,0,,
"$172,502 ",2.57%,current,current,656,0.288,FALSE,,,#VALUE!,0,,
"$137,631 ",4.85%,current,current,635,0.344,FALSE,,,#VALUE!,0,,
"$153,542 ",3.73%,current,current,785,0.576,FALSE,,,#VALUE!,0,,
"$31,644 ",6.34%,delinquent in payments,defaulted,610.4,1.09,TRUE,13%,5,0.124004042,27530.28,,
"$70,252 ",4.21%,current,current,747,0.256,FALSE,,,#VALUE!,0,,
"$52,442 ",4.43%,current,current,750,0.4,FALSE,,,#VALUE!,0,,
"$43,106 ",5.82%,current,current,603,0.648,FALSE,,,#VALUE!,0,,
"$30,504 ",2.30%,current,current,625,0.76,FALSE,,,#VALUE!,0,,
"$112,112 ",4.97%,current,current,778,0.2,FALSE,,,#VALUE!,0,,
"$184,799 ",3.88%,current,current,679,0.432,FALSE,,,#VALUE!,0,,
"$127,768 ",4.96%,current,current,604,0.656,FALSE,,,#VALUE!,0,,
"$57,945 ",4.55%,current,current,679,0.2,FALSE,,,#VALUE!,0,,
"$130,499 ",3.61%,current,current,773,0.776,FALSE,,,#VALUE!,0,,
"$17,862 ",2.28%,delinquent in payments,defaulted,615.2,0.7,TRUE,21%,5,0.200314222,14110.98,,
"$85,685 ",5.87%,current,current,785,0.496,FALSE,,,#VALUE!,0,,
"$74,391 ",3.01%,current,current,624,0.4,FALSE,,,#VALUE!,0,,
"$35,940 ",3.19%,current,current,654,0.312,FALSE,,,#VALUE!,0,,
"$13,139 ",3.76%,current,current,719,0.496,FALSE,,,#VALUE!,0,,
"$152,091 ",4.96%,current,current,798,0.448,FALSE,,,#VALUE!,0,,
"$36,307 ",3.49%,current,current,623,0.2,FALSE,,,#VALUE!,0,,
"$138,403 ",5.44%,current,defaulted,504.8,0.44,TRUE,14%,3,0.136089159,119026.58,,
"$15,458 ",6.77%,current,current,707,0.2,FALSE,,,#VALUE!,0,,
"$27,483 ",4.53%,current,current,721,0.416,FALSE,,,#VALUE!,0,,
"$156,767 ",5.98%,current,current,785,0.2,FALSE,,,#VALUE!,0,,
"$146,242 ",4.95%,current,current,775,0.216,FALSE,,,#VALUE!,0,,
"$48,091 ",4.07%,current,current,657,0.336,FALSE,,,#VALUE!,0,,
"$95,257 ",4.82%,current,paid off,709,0.2,FALSE,,,#VALUE!,0,,
"$193,524 ",7.00%,current,current,691,0.2,FALSE,,,#VALUE!,0,,
"$56,943 ",2.61%,current,current,658,0.448,FALSE,,,#VALUE!,0,,
"$93,034 ",4.37%,current,current,758,0.616,FALSE,,,#VALUE!,0,,
"$94,103 ",4.84%,current,current,772,0.2,FALSE,,,#VALUE!,0,,
"$89,063 ",3.46%,current,current,619,0.656,FALSE,,,#VALUE!,0,,
"$79,978 ",2.81%,current,current,633,0.2,FALSE,,,#VALUE!,0,,
"$174,521 ",4.98%,current,current,739,0.464,FALSE,,,#VALUE!,0,,
"$154,175 ",6.99%,current,current,676,0.224,FALSE,,,#VALUE!,0,,
"$149,251 ",2.52%,current,current,628,0.464,FALSE,,,#VALUE!,0,,
"$110,175 ",4.41%,current,current,715,0.528,FALSE,,,#VALUE!,0,,
"$6,413 ",5.67%,current,current,748,0.8,FALSE,,,#VALUE!,0,,
"$14,899 ",2.05%,current,current,777,0.792,FALSE,,,#VALUE!,0,,
"$187,363 ",6.64%,current,current,704,0.456,FALSE,,,#VALUE!,0,,
"$66,175 ",3.83%,current,current,796,0.2,FALSE,,,#VALUE!,0,,
"$90,842 ",6.18%,current,current,700,0.328,FALSE,,,#VALUE!,0,,
"$108,223 ",6.44%,current,current,765,0.736,FALSE,,,#VALUE!,0,,
"$162,533 ",3.41%,current,current,666,0.704,FALSE,,,#VALUE!,0,,
"$7,186 ",2.51%,current,current,644,0.696,FALSE,,,#VALUE!,0,,
"$70,461 ",6.43%,current,current,781,0.368,FALSE,,,#VALUE!,0,,
"$179,472 ",6.96%,current,current,737,0.376,FALSE,,,#VALUE!,0,,
"$13,807 ",6.07%,current,current,667,0.2,FALSE,,,#VALUE!,0,,
"$32,816 ",4.91%,current,current,759,0.2,FALSE,,,#VALUE!,0,,
"$80,647 ",5.82%,current,current,612,0.6,FALSE,,,#VALUE!,0,,
"$103,432 ",5.13%,current,current,634,0.384,FALSE,,,#VALUE!,0,,
"$13,859 ",3.73%,current,current,645,0.424,FALSE,,,#VALUE!,0,,
"$82,248 ",2.64%,current,current,662,0.44,FALSE,,,#VALUE!,0,,
"$12,684 ",2.70%,current,current,705,0.416,FALSE,,,#VALUE!,0,,
"$160,638 ",3.36%,current,current,608,0.784,FALSE,,,#VALUE!,0,,
"$46,649 ",6.96%,current,current,777,0.76,FALSE,,,#VALUE!,0,,
"$48,534 ",6.77%,current,current,749,0.752,FALSE,,,#VALUE!,0,,
"$188,346 ",3.14%,current,current,613,0.72,FALSE,,,#VALUE!,0,,
"$44,775 ",2.24%,current,current,706,0.264,FALSE,,,#VALUE!,0,,
"$124,586 ",5.43%,current,current,724,0.664,FALSE,,,#VALUE!,0,,
"$82,487 ",4.73%,current,current,765,0.536,FALSE,,,#VALUE!,0,,
"$197,452 ",5.24%,current,current,761,0.4,FALSE,,,#VALUE!,0,,
"$160,164 ",3.59%,current,current,775,0.504,FALSE,,,#VALUE!,0,,
"$128,570 ",5.88%,current,current,742,0.8,FALSE,,,#VALUE!,0,,
"$71,378 ",4.67%,current,current,690,0.776,FALSE,,,#VALUE!,0,,
"$87,172 ",2.23%,current,current,701,0.272,FALSE,,,#VALUE!,0,,
"$126,372 ",3.32%,current,defaulted,611.2,0.85,TRUE,6%,5,0.057232635,118789.68,,
"$14,373 ",5.17%,current,current,760,0.272,FALSE,,,#VALUE!,0,,
"$95,182 ",4.83%,current,current,758,0.392,FALSE,,,#VALUE!,0,,
"$26,457 ",4.33%,current,current,635,0.528,FALSE,,,#VALUE!,0,,
"$69,870 ",5.14%,current,current,741,0.28,FALSE,,,#VALUE!,0,,
"$176,451 ",4.21%,current,current,786,0.512,FALSE,,,#VALUE!,0,,
"$119,207 ",6.72%,current,current,776,0.328,FALSE,,,#VALUE!,0,,
"$27,410 ",3.62%,current,defaulted,517.6,0.75,TRUE,17%,3,0.165251122,22750.3,,
"$157,722 ",2.91%,current,current,717,0.616,FALSE,,,#VALUE!,0,,
"$73,384 ",6.04%,current,current,734,0.76,FALSE,,,#VALUE!,0,,
"$156,946 ",3.58%,current,current,699,0.44,FALSE,,,#VALUE!,0,,
"$80,289 ",3.50%,current,defaulted,517.6,0.83,,17%,3,0.165251122,66639.87,,
"$108,696 ",5.62%,current,current,677,0.296,FALSE,,,#VALUE!,0,,
"$28,119 ",5.90%,current,current,750,0.2,FALSE,,,#VALUE!,0,,
"$34,865 ",2.30%,current,current,626,0.296,FALSE,,,#VALUE!,0,,
"$10,485 ",4.27%,current,current,766,0.2,FALSE,,,#VALUE!,0,,
"$151,679 ",3.58%,current,current,698,0.792,FALSE,,,#VALUE!,0,,
"$101,392 ",6.42%,current,current,683,0.2,FALSE,,,#VALUE!,0,,
"$66,439 ",3.17%,current,current,641,0.472,FALSE,,,#VALUE!,0,,
"$163,879 ",4.27%,current,current,750,0.544,FALSE,,,#VALUE!,0,,
"$106,225 ",2.14%,current,current,696,0.2,FALSE,,,#VALUE!,0,,
"$160,737 ",2.25%,current,current,613,0.424,FALSE,,,#VALUE!,0,,
"$177,197 ",5.68%,current,current,678,0.2,FALSE,,,#VALUE!,0,,
"$169,977 ",3.81%,current,current,669,0.56,FALSE,,,#VALUE!,0,,
"$190,714 ",4.51%,current,current,684,0.312,FALSE,,,#VALUE!,0,,
"$107,604 ",5.55%,current,current,709,0.432,FALSE,,,#VALUE!,0,,
"$30,375 ",4.42%,current,current,600,0.592,FALSE,,,#VALUE!,0,,
"$185,624 ",4.73%,current,current,749,0.392,FALSE,,,#VALUE!,0,,
"$126,485 ",2.53%,current,current,750,0.512,FALSE,,,#VALUE!,0,,
"$66,491 ",5.37%,current,current,766,0.736,FALSE,,,#VALUE!,0,,
"$34,346 ",2.89%,current,paid off,694,0.33,FALSE,,,#VALUE!,0,,
"$188,132 ",2.65%,current,current,754,0.2,FALSE,,,#VALUE!,0,,
"$135,626 ",4.80%,current,current,723,0.576,FALSE,,,#VALUE!,0,,
"$196,694 ",6.70%,current,current,722,0.2,FALSE,,,#VALUE!,0,,
"$8,298 ",6.41%,current,paid off,708,0.27,FALSE,,,#VALUE!,0,,
"$152,918 ",3.91%,current,current,653,0.2,FALSE,,,#VALUE!,0,,
"$139,265 ",2.92%,current,current,786,0.2,FALSE,,,#VALUE!,0,,
"$70,935 ",6.40%,current,current,611,0.208,FALSE,,,#VALUE!,0,,
"$174,013 ",6.54%,current,current,741,0.584,FALSE,,,#VALUE!,0,,
"$115,824 ",4.92%,current,current,799,0.688,FALSE,,,#VALUE!,0,,
"$21,606 ",2.88%,current,current,620,0.2,FALSE,,,#VALUE!,0,,
"$43,191 ",5.94%,current,current,751,0.368,FALSE,,,#VALUE!,0,,
"$123,551 ",2.35%,current,current,752,0.376,FALSE,,,#VALUE!,0,,
"$98,183 ",6.52%,current,current,752,0.56,FALSE,,,#VALUE!,0,,
"$146,918 ",2.99%,current,current,680,0.2,FALSE,,,#VALUE!,0,,
"$57,196 ",2.86%,current,current,791,0.2,FALSE,,,#VALUE!,0,,
"$195,239 ",5.15%,current,current,773,0.2,FALSE,,,#VALUE!,0,,
"$120,813 ",5.94%,current,current,768,0.44,FALSE,,,#VALUE!,0,,
"$31,061 ",3.48%,current,current,639,0.2,FALSE,,,#VALUE!,0,,
"$73,591 ",6.85%,current,current,765,0.704,FALSE,,,#VALUE!,0,,
"$30,087 ",2.75%,current,current,643,0.424,FALSE,,,#VALUE!,0,,
"$93,844 ",4.84%,current,current,735,0.472,FALSE,,,#VALUE!,0,,
"$66,687 ",6.39%,current,current,631,0.576,FALSE,,,#VALUE!,0,,
"$33,280 ",6.76%,current,current,768,0.8,FALSE,,,#VALUE!,0,,
"$95,580 ",4.33%,current,current,783,0.2,FALSE,,,#VALUE!,0,,
"$180,106 ",4.49%,current,current,676,0.736,FALSE,,,#VALUE!,0,,
"$109,873 ",6.44%,current,current,672,0.224,FALSE,,,#VALUE!,0,,
"$89,514 ",3.14%,current,current,690,0.448,FALSE,,,#VALUE!,0,,
"$137,646 ",6.87%,current,defaulted,612.8,1.05,TRUE,18%,3,0.174971776,112869.72,,
"$40,242 ",2.77%,current,current,613,0.2,FALSE,,,#VALUE!,0,,
"$167,977 ",4.56%,current,current,718,0.6,FALSE,,,#VALUE!,0,,
"$171,022 ",4.54%,current,current,798,0.232,FALSE,,,#VALUE!,0,,
"$83,468 ",5.87%,current,current,733,0.488,FALSE,,,#VALUE!,0,,
"$72,227 ",6.02%,current,current,642,0.616,FALSE,,,#VALUE!,0,,
"$181,263 ",2.30%,current,current,671,0.2,FALSE,,,#VALUE!,0,,
"$87,217 ",2.46%,current,current,687,0.376,FALSE,,,#VALUE!,0,,
"$127,118 ",5.63%,current,current,783,0.48,FALSE,,,#VALUE!,0,,
"$70,937 ",2.66%,current,current,733,0.696,FALSE,,,#VALUE!,0,,
"$177,928 ",2.01%,current,current,721,0.648,FALSE,,,#VALUE!,0,,
"$92,512 ",4.84%,current,current,623,0.328,FALSE,,,#VALUE!,0,,
"$98,978 ",3.34%,current,current,770,0.2,FALSE,,,#VALUE!,0,,
"$91,435 ",4.08%,current,current,737,0.688,FALSE,,,#VALUE!,0,,
"$22,494 ",3.72%,current,current,726,0.64,FALSE,,,#VALUE!,0,,
"$62,624 ",5.44%,current,current,616,0.6,FALSE,,,#VALUE!,0,,
"$32,671 ",4.15%,current,current,703,0.616,FALSE,,,#VALUE!,0,,
"$60,485 ",5.79%,current,current,770,0.4,FALSE,,,#VALUE!,0,,
"$64,327 ",2.53%,current,current,630,0.2,FALSE,,,#VALUE!,0,,
"$196,003 ",4.79%,current,current,729,0.384,FALSE,,,#VALUE!,0,,
"$148,627 ",3.55%,delinquent in payments,defaulted,485.6,0.91,TRUE,11%,3,0.106927196,132278.03,,
"$65,895 ",6.30%,current,current,784,0.576,FALSE,,,#VALUE!,0,,
"$181,004 ",3.36%,current,current,701,0.536,FALSE,,,#VALUE!,0,,
"$66,931 ",4.40%,current,current,692,0.208,FALSE,,,#VALUE!,0,,
"$28,479 ",4.27%,current,current,660,0.624,FALSE,,,#VALUE!,0,,
"$190,378 ",6.48%,current,current,746,0.392,FALSE,,,#VALUE!,0,,
"$172,972 ",5.63%,current,paid off,738,0.72,FALSE,,,#VALUE!,0,,
"$33,484 ",5.40%,current,current,679,0.512,FALSE,,,#VALUE!,0,,
"$123,331 ",4.37%,current,current,777,0.392,FALSE,,,#VALUE!,0,,
"$39,083 ",5.89%,current,current,787,0.24,FALSE,,,#VALUE!,0,,
"$23,283 ",2.39%,current,current,759,0.2,FALSE,,,#VALUE!,0,,
"$149,006 ",4.46%,current,current,752,0.512,FALSE,,,#VALUE!,0,,
"$38,811 ",4.92%,current,current,606,0.704,FALSE,,,#VALUE!,0,,
"$59,942 ",6.06%,current,current,605,0.2,FALSE,,,#VALUE!,0,,
"$196,104 ",2.28%,current,current,793,0.624,FALSE,,,#VALUE!,0,,
"$64,960 ",3.81%,current,current,757,0.2,FALSE,,,#VALUE!,0,,
"$43,827 ",6.46%,current,current,629,0.408,FALSE,,,#VALUE!,0,,
"$67,054 ",3.95%,current,current,649,0.76,FALSE,,,#VALUE!,0,,
"$38,777 ",6.68%,current,current,773,0.2,FALSE,,,#VALUE!,0,,
"$175,161 ",4.38%,current,current,727,0.2,FALSE,,,#VALUE!,0,,
"$181,731 ",2.32%,current,current,608,0.2,FALSE,,,#VALUE!,0,,
"$79,188 ",2.38%,current,current,619,0.2,FALSE,,,#VALUE!,0,,
"$149,277 ",2.06%,current,current,601,0.304,FALSE,,,#VALUE!,0,,
"$197,891 ",2.02%,current,current,787,0.576,FALSE,,,#VALUE!,0,,
"$119,717 ",6.02%,current,current,742,0.736,FALSE,,,#VALUE!,0,,
"$66,298 ",3.62%,current,paid off,678,0.41,FALSE,,,#VALUE!,0,,
"$167,879 ",6.64%,current,paid off,735,0.81,FALSE,,,#VALUE!,0,,
"$89,640 ",2.02%,current,current,714,0.624,FALSE,,,#VALUE!,0,,
"$39,528 ",2.73%,current,current,661,0.2,FALSE,,,#VALUE!,0,,
"$159,644 ",2.46%,current,current,657,0.544,FALSE,,,#VALUE!,0,,
"$77,377 ",4.94%,current,current,762,0.584,FALSE,,,#VALUE!,0,,
"$168,762 ",5.18%,current,current,640,0.2,FALSE,,,#VALUE!,0,,
"$21,691 ",6.26%,current,current,602,0.2,FALSE,,,#VALUE!,0,,
"$155,219 ",5.90%,current,current,725,0.36,FALSE,,,#VALUE!,0,,
"$128,053 ",4.26%,current,current,678,0.504,FALSE,,,#VALUE!,0,,
"$177,353 ",3.90%,current,current,737,0.416,FALSE,,,#VALUE!,0,,
"$16,323 ",2.12%,current,current,730,0.512,FALSE,,,#VALUE!,0,,
"$14,341 ",5.09%,current,current,786,0.376,FALSE,,,#VALUE!,0,,
